economy,wbcodev2,Region,Income group,reportyr,WBL INDEX,GOING PLACES,Can a woman apply for a passport in the same way as a man?,Can a woman legally travel outside the country in the same way as a man?,Can a woman legally travel outside her home in the same way as a man?,Can a woman legally choose where to live in the same way as a man?,STARTING A JOB,Can a woman get a job or pursue a trade or profession in the same way as a man?,Does the law mandate nondiscrimination based on gender in employment?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,GETTING PAID,Does the law mandate equal remuneration for work of equal value?,Can women work the same night hours as men?,"Can women work in jobs deemed hazardous, arduous or morally inappropriate in the same way as men?",Are women able to work in the same industries as men?,GETTING MARRIED,Is a married woman not legally required to obey her husband?,Can a woman be head of household or head of family in the same way as a man?,Is there domestic violence legislation?,Can a woman obtain a judgment of divorce in the same way as a man?,Do women have the same rights to remarry as men?,HAVING CHILDREN,Is there paid leave of at least 14 weeks available to women?,"Does the government pay 100% of maternity leave benefits, or parental leave benefits (where maternity leave is unavailable)?",Is there paid paternity leave?,Is there paid parental leave?,Is dismissal of pregnant workers prohibited?,RUNNING A BUSINESS,Can a woman legally sign a contract in the same way as a man?,Can a woman legally register a business in the same way as a  man?,Can a  woman legally open a bank account in the same way as a man?,Does the law prohibit discrimination by creditors on the basis of sex or gender?,MANAGING ASSETS,Do men and married women have equal ownership rights to property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,GETTING A PENSION,Are the ages at which men and women can retire with full pension benefits equal?,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?,Does the law establish explicit pension care credits for periods of childcare?
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2010,83.75,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,40,No,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2011,83.75,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,40,No,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2012,83.75,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,40,No,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2013,83.75,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,40,No,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2014,86.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2015,86.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2016,86.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,60,No,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2017,88.75,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2018,88.75,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,No,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2009,60.63,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2010,60.63,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2011,60.63,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2012,60.63,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2013,60.63,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,75,No,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2014,66.25,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,60,No,Yes,Yes,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2015,66.25,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,60,No,Yes,Yes,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2016,66.25,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,60,No,Yes,Yes,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2017,66.25,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,60,No,Yes,Yes,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2018,66.25,75,Yes,Yes,Yes,No,50,Yes,Yes,No,No,100,Yes,Yes,Yes,Yes,60,No,Yes,No,Yes,Yes,60,No,Yes,Yes,No,Yes,50,No,Yes,Yes,No,60,No,Yes,Yes,No,Yes,75,Yes,Yes,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2009,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2010,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2011,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2012,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2013,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2014,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2015,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2016,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2017,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Eritrea,ERI,Sub-Saharan Africa,Low income,2018,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Estonia,EST,High income: OECD,High income,2009,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Estonia,EST,High income: OECD,High income,2010,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Estonia,EST,High income: OECD,High income,2011,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Estonia,EST,High income: OECD,High income,2012,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Estonia,EST,High income: OECD,High income,2013,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Estonia,EST,High income: OECD,High income,2014,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Estonia,EST,High income: OECD,High income,2015,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Estonia,EST,High income: OECD,High income,2016,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes
Estonia,EST,High income: OECD,High income,2017,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Estonia,EST,High income: OECD,High income,2018,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2009,58.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2010,58.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2011,58.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2012,63.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2013,63.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2014,63.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2015,63.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2016,63.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2017,63.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2018,63.75,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,60,Yes,No,No,Yes,Yes,75,Yes,Yes,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2009,65.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2010,65.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2011,65.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2012,65.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2013,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2014,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2015,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2016,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2017,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Ethiopia,ETH,Sub-Saharan Africa,Low income,2018,71.88,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,25,No,Yes,No,No,80,Yes,Yes,Yes,Yes,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2009,71.88,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2010,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2011,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2012,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2013,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2014,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2015,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2016,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2017,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Fiji,FJI,East Asia & Pacific,Upper middle income,2018,74.38,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,50,No,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,No
Finland,FIN,High income: OECD,High income,2009,94.38,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,No,Yes,Yes,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Finland,FIN,High income: OECD,High income,2010,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Finland,FIN,High income: OECD,High income,2011,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Finland,FIN,High income: OECD,High income,2012,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Finland,FIN,High income: OECD,High income,2013,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Finland,FIN,High income: OECD,High income,2014,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
Finland,FIN,High income: OECD,High income,2015,97.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes
